Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
117047,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,"Dawkins, Richard",,"=""0141026162""","=""9780141026169""",2,4.09,Penguin,Paperback,340,2006,1986,2018/09/29,2018/07/19,,,read,,,,1,,,0,,,,,
17362,Black Holes & Time Warps: Einstein's Outrageous Legacy,Kip S. Thorne,"Thorne, Kip S.","Stephen Hawking, Frederick Seitz","=""0393312763""","=""9780393312768""",2,4.18,W. W. Norton  Company,Paperback,624,1995,1994,2019/01/03,2018/09/19,,,read,,,,1,,,0,,,,,
20518872,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,"Cixin, Liu","Cixin Liu, Ken Liu","=""0765377063""","=""9780765377067""",0,4.05,Tor Books,Hardcover,400,2014,2007,,2018/05/09,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
17618748,On Western Terrorism: From Hiroshima to Drone Warfare,Noam Chomsky,"Chomsky, Noam",André Vltchek,"=""0745333877""","=""9780745333878""",2,3.83,Pluto Press,Paperback,208,2013,2013,2019/02/02,2019/01/25,,,read,,,,1,,,0,,,,,
7407258,Principles of Synthetic Intelligence: Psi: An Architecture of Motivated Cognition,Joscha Bach,"Bach, Joscha",,"=""0195370678""","=""9780195370676""",0,4.36,"Oxford University Press, USA",Hardcover,374,2009,2009,,2019/01/29,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
17697774,Computing machinery and intelligence,Alan Turing,"Turing, Alan",,"=""""","=""""",5,4.16,MSAC Philosophy Group,Unbound,24,2009,1950,2019/01/20,2019/01/16,,,read,,,,1,,,0,,,,,
34999438,Deep Learning with Keras: Implementing deep learning models and neural networks with the power of Python,Antonio Gulli,"Gulli, Antonio",Sujit Pal,"=""""","=""""",0,4.11,Packt Publishing,Kindle Edition,318,2017,,,2019/01/19,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
3118806,Intelligence Service: Schriften,Alan Turing,"Turing, Alan",,"=""3922660223""","=""9783922660224""",0,5.00,Brinkmann &amp; Bose,,,1987,1987,,2019/01/16,to-read,to-read (#83),to-read,,,,0,,,0,,,,,
14891890,Alan Turing's Systems of Logic: The Princeton Thesis,Alan Turing,"Turing, Alan",Andrew W. Appel,"=""0691155747""","=""9780691155746""",0,4.20,Princeton University Press,Hardcover,160,2012,2012,,2019/01/16,to-read,to-read (#82),to-read,,,,0,,,0,,,,,
24755258,On Computable Numbers,Alan Turing,"Turing, Alan",,"=""""","=""""",0,4.41,,Kindle Edition,39,2015,2015,,2019/01/16,to-read,to-read (#81),to-read,,,,0,,,0,,,,,
150734,"The Essential Turing: Seminal Writings in Computing, Logic, Philosophy, Artificial Intelligence, and Artificial Life Plus the Secrets of Eni",Alan Turing,"Turing, Alan",B. Jack Copeland,"=""0198250800""","=""9780198250807""",0,4.20,Oxford University Press (UK),Paperback,622,2013,2004,,2019/01/16,to-read,to-read (#80),to-read,,,,0,,,0,,,,,
43560867,Beginner's Guide to Exploitation on ARM (Volume 2),Billy Ellis,"Ellis, Billy",,"=""""","=""""",4,4.00,,Paperback,131,,,2019/01/16,2019/01/14,,,read,,,,1,,,0,,,,,
43560862,Beginner's Guide to Exploitation on ARM (Volume 1),Billy Ellis,"Ellis, Billy",,"=""""","=""""",5,4.50,,Paperback,123,,,,2019/01/14,,,read,,,,1,,,0,,,,,
135479,Cat's Cradle,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0140285601""","=""9780140285604""",4,4.17,Penguin,Paperback,306,1999,1963,2019/01/03,2018/12/03,,,read,,,,1,,,0,,,,,
31393737,Feature Engineering for Machine Learning,Alice Zheng,"Zheng, Alice",Amanda Casari,"=""1491953241""","=""9781491953242""",0,3.94,O'Reilly Media,Paperback,218,2018,,,2018/12/28,to-read,to-read (#79),to-read,,,,0,,,0,,,,,
22322,"Spook Country (Blue Ant, #2)",William Gibson,"Gibson, William",,"=""0399154302""","=""9780399154300""",0,3.68,Putnam Adult,Hardcover,371,2007,2007,,2018/12/15,to-read,to-read (#78),to-read,,,,0,,,0,,,,,
4698043,Unsupervised Learning: Foundations of Neural Computation,Geoffrey Hinton,"Hinton, Geoffrey",,"=""026258168X""","=""9780262581684""",0,3.50,MIT Press (MA),Paperback,398,1999,1999,,2018/12/15,to-read,to-read (#77),to-read,,,,0,,,0,,,,,
4588128,Connectionist Symbol Processing,Geoffrey Hinton,"Hinton, Geoffrey",,"=""026258106X""","=""9780262581066""",0,4.00,Bradford Book,Paperback,268,1991,1991,,2018/12/15,to-read,to-read (#76),to-read,,,,0,,,0,,,,,
24677581,La teoria del tutto (Le Navi),Michio Kaku,"Kaku, Michio",,"=""""","=""""",4,4.19,Castelvecchi,Kindle Edition,218,2014,1987,,2018/04/28,,,read,,,,1,,,0,,,,,
1382574,Gaming the Vote: Why Elections Aren't Fair (and What We Can Do About It),William Poundstone,"Poundstone, William",,"=""0809048930""","=""9780809048939""",0,3.93,Hill and Wang,Hardcover,352,2008,2008,,2018/10/11,to-read,to-read (#75),to-read,,,,0,,,0,,,,,
25666050,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"Christian, Brian",Tom  Griffiths,"=""1627790365""","=""9781627790369""",0,4.16,Henry Holt and Co.,Hardcover,368,2016,2016,,2018/09/29,to-read,to-read (#74),to-read,,,,0,,,0,,,,,
29997845,La Terza Memoria,Maico Morellini,"Morellini, Maico",,"=""""","=""""",0,3.45,Mondadori,Kindle Edition,267,2016,,,2018/09/29,to-read,to-read (#73),to-read,,,,0,,,0,,,,,
8874298,L'illusione di Dio: Le ragioni per non credere,Richard Dawkins,"Dawkins, Richard",,"=""8804570822""","=""9788804570820""",0,3.90,Mondadori,Hardcover,400,2007,2006,,2018/09/29,to-read,to-read (#72),to-read,,,,0,,,0,,,,,
1393757,Hypérion 1,Dan Simmons,"Simmons, Dan",,"=""2266173278""","=""9782266173278""",5,4.23,Pocket,Mass Market Paperback,282,2007,1989,,2018/04/27,,,read,,,,1,,,0,,,,,
2161966,The Black Hole War: My Battle with Stephen Hawking to Make the World Safe for Quantum Mechanics,Leonard Susskind,"Susskind, Leonard",,"=""0316016403""","=""9780316016407""",4,4.11,"Little, Brown and Company",Hardcover,480,2008,2008,2018/09/19,2018/07/19,,,read,,,,1,,,0,,,,,
260142,The Principles of Quantum Mechanics,Paul A.M. Dirac,"Dirac, Paul A.M.",,"=""0198520115""","=""9780198520115""",0,4.43,Clarendon Press,Paperback,324,1982,1958,,2018/09/13,to-read,to-read (#71),to-read,,,,0,,,0,,,,,
18509663,Spam Nation: The Inside Story of Organized Cybercrime — from Global Epidemic to Your Front Door,Brian Krebs,"Krebs, Brian",,"=""1402295618""","=""9781402295614""",0,3.72,Sourcebooks,Hardcover,256,2014,2014,,2018/09/11,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
18154,The Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Espionage,Clifford Stoll,"Stoll, Clifford",,"=""1416507787""","=""9781416507789""",0,4.21,Gallery Books,Paperback,399,2005,1989,,2018/09/11,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
43866,Reinventing Your Life: The Breakthrough Program to End Negative Behavior...and Feel Great Again,Jeffrey E. Young,"Young, Jeffrey E.","Janet S. Klosko, Aaron T. Beck","=""0452272041""","=""9780452272040""",4,4.11,Penguin USA,Paperback,365,1994,1993,2018/09/03,2018/07/26,,,read,,,,1,,,0,,,,,
